,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,title_artist_id,isrc_track_id,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4191,Can't Have Mine,Can't Have Mine - Single,Dylan Scott,2/18/2022,USCRB2200013,"4,170",20.7,"98,538,888","14,642","4,147,528",60.0,"16,119,088","140,631","100,893","6,565,030","66,770,114","299,226",15.0,"211,013",41,1.0,"87,320",13.0,"65,659,307","5,819",,"532,133",,0,3jfywRZH6cB2iLyKqo4EZd,,3jfywRZH6cB2iLyKqo4EZd,0.663,0.502,5.0,-7.07,1.0,0.0285,0.791,0.0,0.105,0.371,143.969,audio_features,3jfywRZH6cB2iLyKqo4EZd,spotify:track:3jfywRZH6cB2iLyKqo4EZd,https://api.spotify.com/v1/tracks/3jfywRZH6cB2iLyKqo4EZd,https://api.spotify.com/v1/audio-analysis/3jfywRZH6cB2iLyKqo4EZd,183087.0,4.0
4192,supï¿½ï,supï¿½ï,ýýýýýýýýýý,8/11/2023,QZPLS2305099,"4,188",20.7,"63,642,484","15,618","1,035,077",65.0,"15,786,520","508,672","305,600","89,199,660","833,809,283",,1.0,,,,,,"89,501",93,,"400,490",,0,2T9IdsfYf4eIjBfwGoh6iF,,2T9IdsfYf4eIjBfwGoh6iF,0.466,0.992,4.0,-3.598,0.0,0.0825,0.00332,0.00163,0.754,0.221,108.947,audio_features,2T9IdsfYf4eIjBfwGoh6iF,spotify:track:2T9IdsfYf4eIjBfwGoh6iF,https://api.spotify.com/v1/tracks/2T9IdsfYf4eIjBfwGoh6iF,https://api.spotify.com/v1/audio-analysis/2T9IdsfYf4eIjBfwGoh6iF,224200.0,4.0
4193,What Else Can I Do?,Encanto (Original Motion Picture Soundtrack),Diane Guerrero,11/19/2021,USWD12112916,"4,186",20.7,"186,607,065","18,815","9,312,393",62.0,"278,576,205","1,476,391",,"44,231,105","371,511,075","65,338,805",14.0,220,,,,2.0,"36,298,502","27,656",,"142,768",,0,3XoYqtiWHhsk59frZupImG,,3XoYqtiWHhsk59frZupImG,0.718,0.709,4.0,-5.568,1.0,0.039,0.258,0.0,0.101,0.54,119.974,audio_features,3XoYqtiWHhsk59frZupImG,spotify:track:3XoYqtiWHhsk59frZupImG,https://api.spotify.com/v1/tracks/3XoYqtiWHhsk59frZupImG,https://api.spotify.com/v1/audio-analysis/3XoYqtiWHhsk59frZupImG,179427.0,4.0
4194,YA NO TE EXTRAï¿½,NASTY SINGLES,NATTI NATASHA,12/7/2023,USB272300115,"4,179",20.7,"9,129,729","1,422","3,777,844",,"78,290,967","103,564",,,,"1,621,817,535",4.0,"5,230",5,11.0,"39,011",12.0,,,,"71,640",,0,,1gZXkChBq4k1kDxJW32kAg,1gZXkChBq4k1kDxJW32kAg,0.678,0.728,5.0,-4.007,1.0,0.0825,0.269,0.0,0.26,0.897,185.838,audio_features,1gZXkChBq4k1kDxJW32kAg,spotify:track:1gZXkChBq4k1kDxJW32kAg,https://api.spotify.com/v1/tracks/1gZXkChBq4k1kDxJW32kAg,https://api.spotify.com/v1/audio-analysis/1gZXkChBq4k1kDxJW32kAg,190698.0,4.0
4195,Yankee 150,Yankee 150 - Single,Yandel,6/16/2023,QM6P42372371,"4,189",20.7,"126,879,048","19,994","19,160,060",63.0,"26,943,448","151,763","1,427","36,122","389,534",,25.0,"9,665",5,8.0,"120,693",12.0,"21,058,757","1,446","525,588","199,309",,1,28BSTgZH1ckI8Xfy8LXaRz,,28BSTgZH1ckI8Xfy8LXaRz,0.72,0.821,6.0,-2.488,0.0,0.0681,0.0953,0.000167,0.0929,0.628,167.998,audio_features,28BSTgZH1ckI8Xfy8LXaRz,spotify:track:28BSTgZH1ckI8Xfy8LXaRz,https://api.spotify.com/v1/tracks/28BSTgZH1ckI8Xfy8LXaRz,https://api.spotify.com/v1/audio-analysis/28BSTgZH1ckI8Xfy8LXaRz,242667.0,4.0
4196,Yacht Club (feat. Juice WRLD),Nuthin' 2 Prove,Lil Yachty,10/19/2018,USUG11801956,"4,176",20.7,"296,469,547","71,250","11,753,515",62.0,"39,687,605","346,501","2,084","345,341","2,575,024","6,328",10.0,808,,2.0,"1,406",,"17,918,824","20,468","54,722,837","340,817",,1,5R2rsbwCDXORX2tLfprRmM,,5R2rsbwCDXORX2tLfprRmM,0.721,0.508,7.0,-7.496,1.0,0.394,0.317,0.0,0.153,0.457,159.911,audio_features,5R2rsbwCDXORX2tLfprRmM,spotify:track:5R2rsbwCDXORX2tLfprRmM,https://api.spotify.com/v1/tracks/5R2rsbwCDXORX2tLfprRmM,https://api.spotify.com/v1/audio-analysis/5R2rsbwCDXORX2tLfprRmM,166343.0,4.0
4197,The One That Got Away,Teenage Dream,Katy Perry,1/1/2010,USCA21001266,"4,172",20.7,"921,351,898","110,426","34,757,269",67.0,"1,126,799,119","5,603,400","110,393","54,883,634","397,746,382","528,140,571",40.0,"25,625",16,21.0,"81,354",16.0,"302,855,271","220,209",,"4,674,619",,0,6hkOqJ5mE093AQf2lbZnsG,,6hkOqJ5mE093AQf2lbZnsG,0.689,0.795,1.0,-4.021,0.0,0.0356,0.000812,1.07e-06,0.156,0.876,133.968,audio_features,6hkOqJ5mE093AQf2lbZnsG,spotify:track:6hkOqJ5mE093AQf2lbZnsG,https://api.spotify.com/v1/tracks/6hkOqJ5mE093AQf2lbZnsG,https://api.spotify.com/v1/audio-analysis/6hkOqJ5mE093AQf2lbZnsG,227333.0,4.0
4198,La Romana,X 100PRE,Bad Bunny,12/23/2018,QM7281884731,"4,191",20.7,"410,897,040","71,655","16,804,911",68.0,"428,412,819","3,256,737","15,791","10,068,979","79,348,588","26,238,783",37.0,"5,585",19,8.0,"184,206",3.0,"47,439,393","26,404",,"2,764,964",,1,1khmgu0pveJbkbpbkyvcQv,,1khmgu0pveJbkbpbkyvcQv,0.654,0.726,0.0,-5.497,1.0,0.194,0.0328,0.0027,0.06,0.33,125.855,audio_features,1khmgu0pveJbkbpbkyvcQv,spotify:track:1khmgu0pveJbkbpbkyvcQv,https://api.spotify.com/v1/tracks/1khmgu0pveJbkbpbkyvcQv,https://api.spotify.com/v1/audio-analysis/1khmgu0pveJbkbpbkyvcQv,300579.0,4.0
4199,Soltera - Remix,Soltera (Remix),Lunay,5/10/2019,USA2P1927909,"4,180",20.7,"960,753,774","96,971","42,696,430",67.0,,,"151,800","9,253,742","68,313,797",,95.0,"18,263",10,19.0,"206,475",29.0,"124,205,996","30,729","9,048,845","1,945,500",,0,4t9a07PAghtQMRAIP9FQ7Z,,4t9a07PAghtQMRAIP9FQ7Z,0.795,0.783,5.0,-4.271,1.0,0.0432,0.361,0.0,0.437,0.799,92.01,audio_features,4t9a07PAghtQMRAIP9FQ7Z,spotify:track:4t9a07PAghtQMRAIP9FQ7Z,https://api.spotify.com/v1/tracks/4t9a07PAghtQMRAIP9FQ7Z,https://api.spotify.com/v1/audio-analysis/4t9a07PAghtQMRAIP9FQ7Z,266087.0,4.0
4200,Fine Day Anthem,Fine Day Anthem,Skrillex,7/7/2023,USAT22306616,"4,190",20.7,"50,471,076","29,417","28,537,805",65.0,"6,874,694","138,715","1,161","228,301","2,893,271",,19.0,"6,190",165,11.0,"28,211",14.0,"43,293",142,,"437,498",,0,6tifCCTIVBLC2TmTquYG7G,,6tifCCTIVBLC2TmTquYG7G,0.771,0.808,1.0,-3.842,0.0,0.0526,0.000292,0.0671,0.0848,0.527,138.011,audio_features,6tifCCTIVBLC2TmTquYG7G,spotify:track:6tifCCTIVBLC2TmTquYG7G,https://api.spotify.com/v1/tracks/6tifCCTIVBLC2TmTquYG7G,https://api.spotify.com/v1/audio-analysis/6tifCCTIVBLC2TmTquYG7G,193690.0,4.0
